iter	Passed	Remaining
0	1	1340
1	3	1599
2	5	1688
3	6	1736
4	8	1740
5	10	1760
6	12	1792
7	14	1810
8	16	1824
9	18	1842
10	20	1850
11	22	1864
12	24	1875
13	26	1883
14	29	1904
15	31	1908
16	32	1905
17	34	1903
18	36	1904
19	38	1909
20	41	1914
21	43	1919
22	45	1921
23	47	1925
24	49	1927
25	51	1923
26	53	1919
27	55	1918
28	57	1914
29	59	1915
30	61	1914
31	63	1912
32	65	1911
33	67	1910
34	69	1905
35	71	1903
36	73	1908
37	75	1907
38	77	1904
39	79	1904
40	81	1903
41	83	1901
42	85	1899
43	87	1896
44	89	1894
45	91	1894
46	93	1893
47	95	1893
48	97	1893
49	99	1893
50	101	1893
51	103	1892
52	105	1891
53	107	1890
54	109	1888
55	111	1886
56	113	1885
57	115	1882
58	117	1879
59	119	1878
60	121	1876
61	123	1875
62	126	1875
63	128	1872
64	130	1872
65	132	1870
66	134	1869
67	136	1867
68	138	1866
69	140	1864
70	142	1863
71	144	1861
72	146	1860
73	148	1858
74	150	1856
75	152	1852
76	154	1850
77	156	1847
78	158	1845
79	160	1845
80	162	1841
81	164	1837
82	166	1834
83	168	1832
84	170	1832
85	172	1830
86	174	1828
87	175	1823
88	177	1820
89	179	1816
90	181	1813
91	183	1809
92	185	1805
93	186	1801
94	188	1797
95	190	1794
96	192	1791
97	194	1788
98	196	1786
99	198	1782
100	199	1778
101	201	1775
102	203	1771
103	205	1766
104	206	1761
105	208	1756
106	209	1752
107	211	1747
108	213	1744
109	215	1740
110	216	1736
111	218	1735
112	220	1732
113	222	1729
114	224	1726
115	226	1724
116	228	1722
117	230	1720
118	231	1717
119	233	1714
120	235	1710
121	237	1707
122	238	1703
123	240	1701
124	242	1697
125	245	1701
126	247	1698
127	249	1696
128	250	1693
129	252	1689
130	254	1686
131	256	1685
132	258	1683
133	260	1681
134	261	1678
135	263	1676
136	265	1673
137	267	1670
138	269	1671
139	271	1668
140	273	1667
141	275	1666
142	277	1664
143	279	1662
144	281	1661
145	283	1660
146	285	1659
147	287	1657
148	289	1656
149	291	1653
150	293	1650
151	295	1648
152	297	1645
153	299	1643
154	301	1641
155	302	1639
156	304	1636
157	306	1634
158	308	1632
159	310	1629
160	312	1628
161	314	1627
162	316	1625
163	318	1624
164	320	1622
165	322	1621
166	324	1618
167	326	1616
168	328	1614
169	330	1612
170	332	1610
171	333	1607
172	335	1604
173	337	1602
174	339	1599
175	341	1597
176	342	1594
177	344	1592
178	346	1589
179	348	1586
180	350	1584
181	352	1582
182	353	1579
183	355	1577
184	357	1576
185	359	1574
186	361	1571
187	363	1569
188	365	1567
189	367	1565
190	369	1563
191	370	1561
192	372	1558
193	374	1556
194	376	1554
195	378	1552
196	380	1550
197	382	1547
198	384	1546
199	385	1543
200	387	1541
201	389	1538
202	391	1536
203	393	1534
204	395	1531
205	396	1529
206	398	1527
207	400	1525
208	402	1522
209	404	1520
210	406	1518
211	407	1515
212	409	1513
213	411	1511
214	413	1508
215	415	1506
216	416	1504
217	418	1501
218	420	1499
219	422	1497
220	424	1495
221	426	1492
222	427	1490
223	429	1489
224	431	1486
225	433	1484
226	435	1481
227	436	1479
228	438	1477
229	440	1474
230	442	1472
231	444	1470
232	446	1468
233	447	1466
234	449	1463
235	451	1461
236	453	1459
237	454	1456
238	456	1454
239	458	1451
240	460	1449
241	462	1447
242	464	1445
243	465	1443
244	467	1440
245	469	1438
246	470	1435
247	472	1433
248	474	1431
249	476	1429
250	478	1427
251	480	1425
252	482	1423
253	483	1420
254	485	1419
255	487	1416
256	489	1414
257	491	1412
258	493	1410
259	494	1408
260	496	1406
261	498	1404
262	500	1402
263	502	1400
264	504	1398
265	505	1396
266	507	1393
267	509	1391
268	511	1389
269	513	1387
270	514	1385
271	516	1383
272	518	1380
273	520	1379
274	522	1377
275	524	1375
276	526	1373
277	527	1370
278	529	1368
279	531	1366
280	533	1364
281	535	1362
282	536	1360
283	538	1358
284	540	1356
285	542	1354
286	544	1352
287	546	1349
288	547	1347
289	549	1345
290	551	1343
291	553	1341
292	555	1339
293	556	1337
294	558	1334
295	560	1332
296	562	1331
297	564	1329
298	566	1328
299	568	1326
300	570	1325
301	572	1322
302	574	1320
303	575	1318
304	577	1316
305	579	1315
306	581	1313
307	583	1311
308	585	1309
309	587	1306
310	588	1304
311	590	1302
312	592	1300
313	594	1298
314	595	1295
315	597	1293
316	599	1291
317	601	1289
318	603	1287
319	604	1285
320	606	1282
321	608	1280
322	610	1278
323	612	1277
324	614	1275
325	615	1273
